Graphics Card,Price,Shipping,More Info
"GIGABYTE GeForce RTX 3060 Ti GAMING OC 8GB Video Card, GV-N306TGAMING OC-8GD(rev. 2.0)",$999.99,$49.99,https://www.newegg.com/p/1FT-000A-002G6
"EVGA GeForce RTX 2080 Ti 11GB GDDR6 PCI Express 3.0 SLI Support BLACK EDITION GAMING Video Card, Dual HDB Fans & RGB LED 11G-P4-2281-KR","$1,999.95",Special,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2281-kr/p/N82E16814487418
"GIGABYTE GeForce RTX 3060 EAGLE 12G Graphics Card, 2 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060EAGLE OC-12GD (rev. 2.0) Video Card",$853.99,$10.00,https://www.newegg.com/p/1FT-000A-002A7
ASUS TUF Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3060TI-O8G-V2-GAMING,$993.99,$49.99,https://www.newegg.com/asus-geforce-rtx-3060-ti-tuf-rtx3060ti-o8g-v2-gaming/p/N82E16814126520
ASUS TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3060-O12G-V2-GAMING,$932.89,Free,https://www.newegg.com/asus-geforce-rtx-3060-tuf-rtx3060-o12g-v2-gaming/p/N82E16814126523
ASUS ROG Strix GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3060-O12G-V2-GAMING,$949.99,Free,https://www.newegg.com/p/1FT-000Y-00663
GIGABYTE Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060GAMING OC-12GD (REV 2.0),$909.99,Free,https://www.newegg.com/p/1FT-000A-002F4
ASUS ROG STRIX GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3060TI-O8G-V2-GAMING LHR,"$1,116.79",Free,https://www.newegg.com/p/1FT-000Y-00667
COLORFUL iGame GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Ultra OC LHR,"$1,099.99",Free,https://www.newegg.com/p/1FT-00DM-00004
MSI GeForce RTX 2080 TI GAMING X TRIO Video Card,"$1,964.00",Free,https://www.newegg.com/msi-geforce-rtx-2080-ti-rtx-2080-ti-gaming-x-trio/p/N82E16814137338
GIGABYTE Vision GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N306TVISION OC-8GD (REV 2.0),"$1,049.99",Free,https://www.newegg.com/gigabyte-rtx-3060-ti/p/1FT-000A-002F3
